Probe Set ID,Gene Symbol
b1747_at,astA /// ECs2453
b1754_at,ECs2460 /// ynjB
b1755_at,ynjC
b1756_at,ECs2462 /// ynjD
b1757_at,ynjE
b1758_at,ynjF
b1759_at,ECs2465 /// nudG
b1760_at,ECs2466 /// ynjH
b1762_at,ECs2468 /// ynjI
b1770_at,ECs2479 /// ydjF
b1771_at,ECs2480 /// ydjG
b1772_at,ECs2481 /// ydjH
b1773_at,ECs2482 /// ydjI
b1775_at,ECs2484 /// ydjK
b1776_at,ECs2485 /// ydjL
b1777_at,ECs2486 /// yeaC
b1781_at,ECs2490 /// yeaE
b1788_at,---
b1806_at,yeaY
b1808_at,yoaA
b1809_at,ECs2518 /// yoaB
b1810_at,ECs2519 /// yoaC
b1811_at,ECs2520 /// yoaH
b1815_at,ECs2524 /// yoaD
b1820_at,ECs2530 /// yobD
b1821_at,ECs2531 /// mntP
b1824_at,ECs2534 /// yobF
b1825_at,ECs2535 /// yebO
b1826_at,ECs2536 /// mgrB
b1827_at,ECs2537 /// kdgR
b1828_at,ECs2538 /// yebQ
b1832_at,ECs2542 /// msrC
b1833_at,ECs2543 /// yebS
b1834_at,ECs2544 /// yebT
b1836_at,ECs2546 /// yebV
b1837_at,yebW
b1839_at,yebY
b1840_at,ECs2550 /// yebZ
b1841_at,ECs2551 /// yobA
b1843_at,ECs2553 /// yobB
b1844_at,ECs2554 /// exoX
b1903_at,---
b1904_at,ECs2612 /// yecR
b1933_at,yedN
b1936_at,intG
b1953_at,ECs2692 /// yodD
b1955_at,ECs2693 /// yedP
b1956_at,ECs2694 /// yedQ
b1957_at,ECs2695 /// yodC
b1963_at,yedR
b1964_at,yedS
b1965_at,yedS
b1966_at,yedS
b1970_at,ECs2708 /// hiuH
b1971_at,ECs2709 /// yedY
b1972_at,yedZ
b1973_at,ECs2711 /// zinT
b1976_at,ECs2774 /// mtfA
b1978_at,yeeJ
b1979_at,ECs2777 /// yeeL
b1980_at,yeeL
b1983_at,ECs2780 /// yeeN
b1995_at,ECs2792 /// yoeA
b1998_at,ECs2792 /// yoeA
b2001_at,yeeR
b2016_at,ECs2818 /// yeeZ
b2060_at,ECs2865 /// wzc
b2070_at,yegI
b2071_at,yegJ
b2072_at,yegK
b2073_at,ECs2881 /// yegL
b2074_at,ECs2882 /// mdtA
b2080_at,yegP
b2083_at,yegZ
b2084_at,---
b2085_at,yegR
b2086_at,yegS
b2097_at,fbaB
b2099_at,ECs2902 /// yegU
b2100_at,yegV
b2107_at,ECs2913 /// rcnB
b2145_at,ECs3037 /// yeiS
b2146_at,ECs3038 /// preT
b2174_at,ECs3066 /// lpxT
b2225_at,ECs3108 /// yfaP
b2226_at,ECs3109 /// yfaQ
b2227_at,ECs3111 /// yfaS
b2228_at,yfaS
b2229_at,ECs3112 /// yfaT
b2245_at,ECs3130 /// rhmA
b2246_at,ECs3131 /// rhmT
b2247_at,ECs3135 /// rhmD
b2248_at,ECs3136 /// rhmR
b2249_at,yfaY
b2250_at,yfaZ
b2253_at,arnB /// ECs3141
b2254_at,arnC /// ECs3142
b2255_at,arnA /// ECs3143
b2256_at,arnD /// ECs3144
b2257_at,arnT
b2258_at,arnF /// ECs3146
b2274_at,yfbO
b2275_at,yfbP
b2290_at,alaA /// ECs3174
b2291_at,ECs3175 /// yfbR
b2294_at,ECs3178 /// yfbU
b2295_at,yfbV
b2299_at,ECs3183 /// yfcD
b2304_at,yfcH
b2322_at,ECs3206 /// yfcJ
b2324_at,mnmC
b2325_at,ECs3209 /// yfcL
b2326_at,epmC
b2331_at,smrB
b2332_at,yfcO
b2333_at,yfcP
b2334_at,yfcQ
b2335_at,yfcR
b2337_at,---
b2339_at,yfcV
b2340_at,sixA
b2341_at,fadJ /// fadJ
b2342_at,fadI
b2343_at,yfcZ
b2345_at,yfdF
b2350_at,gtrA
b2351_at,gtrB
b2352_at,gtrS
b2353_at,---
b2354_at,yfdK
b2359_at,yfdP
b2360_at,yfdQ
b2361_at,yfdR
b2362_at,yfdS
b2363_at,yfdT
b2372_at,ECs3252 /// yfdV
b2373_at,ECs3253 /// oxc
b2374_at,frc
b2375_at,yfdX
b2376_at,ypdI
b2377_at,ECs3257 /// yfdY
b2379_at,alaC
b2380_at,ECs3260 /// ypdA
b2381_at,ypdB
b2382_at,ECs3262 /// ypdC
b2383_at,fryA
b2384_at,ypdE
b2385_at,ypdF
b2386_at,fryC
b2387_at,ECs3267 /// fryB
b2389_at,ECs3269 /// yfeO
b2390_at,ypeC
b2392_at,mntH
b2420_at,yfeS
b2429_at,murP
b2430_at,ECs3301 /// yfeW
b2431_at,ECs3302 /// yfeX
b2432_at,ECs3303 /// yfeY
b2433_at,ECs3304 /// yfeZ
b2434_at,ECs3305 /// ypeA
b2438_at,eutK
b2439_at,eutL
b2442_at,intZ
b2443_at,yffL
b2444_at,yffM
b2445_at,yffN
b2446_at,yffO
b2447_at,yffP
b2448_at,yffQ
b2449_at,yffR
b2450_at,yffS
b2451_at,eutA
b2459_at,eutT
b2460_at,ECs3322 /// eutQ
b2461_at,ECs3323 /// eutP
b2462_at,eutS
b2463_at,maeB
b2466_at,ECs3328 /// ypfG
b2475_at,ECs3337 /// ypfJ
b2490_at,hyfJ
b2494_at,bepA /// ECs3356
b2495_at,ECs3357 /// yfgD
b2496_at,ECs3358 /// hda
b2503_at,ECs3365 /// yfgF
b2504_at,ECs3366 /// yfgG
b2505_at,ECs3367 /// yfgH
b2506_at,ECs3368 /// yfgI
b2510_at,yfgJ
b2511_at,der /// engA
b2512_at,bamB /// ECs3374
b2513_at,ECs3375 /// yfgM
b2520_at,ECs3386 /// yfhM
b2529_at,ECs3395 /// iscU
b2531_at,ECs3397 /// iscR
b2532_at,trmJ
b2534_at,ECs3400 /// yfhR
b2595_at,bamD /// ECs3458
b2596_at,ECs3459
b2603_at,ECs3466 /// yfiR
b2611_at,ECs3474 /// ypjD
b2618_at,ratB
b2619_at,ECs3481 /// ratA
b2636_at,yfjS
b2638_at,yfjU
b2639_at,---
b2640_at,---
b2641_at,yfjV
b2648_at,pinH
b2649_at,---
b2650_at,ypjC
b2651_at,---
b2653_at,---
b2654_at,---
b2655_at,ygaQ
b2656_at,ECs3518 /// ygaQ
b2657_at,---
b2658_at,ECs3519
b2659_at,csiD
b2666_at,ECs3527 /// yqaE
b2667_at,ECs3528 /// ygaV
b2670_at,alaE /// ECs3531
b2680_at,ECs3543
b2681_at,ygaY
b2682_at,ECs3544 /// ygaZ
b2689_at,ECs3551 /// yqaA
b2710_at,ECs3566 /// norV
b2736_at,ygbJ
b2737_at,ygbK
b2740_at,ygbN
b2748_at,ftsB /// ftsB
b2755_at,ygbT
b2756_at,casE
b2757_at,casD
b2758_at,casC
b2760_at,casA
b2772_at,ygcU
b2789_at,ECs3649 /// gudP
b2790_at,ECs3650 /// yqcA
b2792_at,ECs3652 /// yqcC
b2809_at,ECs3669 /// ygdI
b2810_at,csdA
b2817_at,amiC
b2832_at,ECs3689 /// ygdQ
b2833_at,ECs3690 /// ygdR
b2834_at,tas /// tas
b2845_at,ECs3702 /// yqeG
b2853_at,ygeI
b2854_at,pbl
b2856_at,ygeK
b2857_at,---
b2858_at,ECs3714 /// ygeN
b2859_at,ECs3715 /// ygeO
b2862_at,ECs3736
b2863_at,ygeQ
b2865_at,ECs3738 /// ygeR
b2866_at,ECs3739 /// xdhA
b2868_at,ECs3741 /// xdhC
b2873_at,ECs3746 /// hyuA
b2875_at,ECs3748 /// yqeB
b2876_at,ECs3749 /// yqeC
b2878_at,ECs3751 /// ygfK
b2879_at,ECs3752 /// ssnA
b2880_at,ECs3753 /// ygfM
b2881_at,ECs3754 /// xdhD
b2889_at,idi
b2896_at,cptA
b2899_at,ECs3771 /// yqfA
b2931_at,ECs3807 /// yggP
b2970_at,yghF
b2971_at,yghG
b2972_at,pppA
b2973_at,sslE
b2974_at,sslE
b2981_at,yghO
